t,x_gt,y_gt,x_est,y_est
490.451,-10.8668,-8.99227,-0.277422,0.995491
490.471,-10.8669,-8.9922,-0.280133,0.99964
490.491,-10.8724,-8.98943,-0.282874,1.00383
490.511,-10.8726,-8.98936,-0.285618,1.00801
490.531,-10.8787,-8.98702,-0.288361,1.01219
490.551,-10.8811,-8.98627,-0.291109,1.01637
490.571,-10.8811,-8.98627,-0.291109,1.01637
490.59,-10.8903,-8.98401,-0.291109,1.01637
490.611,-10.8903,-8.98401,-0.291109,1.01637
490.631,-10.8977,-8.98325,-0.291109,1.01637
490.651,-10.8978,-8.98325,-0.291109,1.01637
490.671,-10.9027,-8.98357,-0.291109,1.01637
490.691,-10.9028,-8.98359,-0.291109,1.01637
490.71,-10.9054,-8.98454,-0.291109,1.01637
490.732,-10.9062,-8.98498,-0.291109,1.01637
490.751,-10.9073,-8.98556,-0.291109,1.01637
490.771,-10.9073,-8.98557,-0.291124,1.01639
490.791,-10.9073,-8.98557,-0.291094,1.01635
490.811,-10.9078,-8.98569,-0.291054,1.0163
490.831,-10.9078,-8.98569,-0.291086,1.01634
490.851,-10.9083,-8.98556,-0.291067,1.01631
490.87,-10.9083,-8.98556,-0.291129,1.0164
490.891,-10.909,-8.98536,-0.291121,1.01638
490.911,-10.9094,-8.98522,-0.291095,1.01635
490.931,-10.9095,-8.98522,-0.291104,1.01637
490.951,-10.9105,-8.98489,-0.291089,1.01634
490.971,-10.9105,-8.98488,-0.291114,1.01637
490.991,-10.9123,-8.98426,-0.291118,1.01639
491.011,-10.913,-8.98402,-0.291121,1.01639
491.031,-10.913,-8.98402,-0.291117,1.01638
491.051,-10.9146,-8.98347,-0.2911,1.01636
491.071,-10.9147,-8.98346,-0.291095,1.01635
491.091,-10.9165,-8.98284,-0.291064,1.01631
491.111,-10.9165,-8.98283,-0.291016,1.01626
491.131,-10.9185,-8.98215,-0.291008,1.01624
491.151,-10.9185,-8.98213,-0.291008,1.01624
491.171,-10.9207,-8.98139,-0.294424,1.01984
491.191,-10.9208,-8.98137,-0.297877,1.02344
491.211,-10.9232,-8.98062,-0.301288,1.02696
491.231,-10.9233,-8.9806,-0.304753,1.03051
491.251,-10.9264,-8.97994,-0.308264,1.03407
491.271,-10.9264,-8.97994,-0.311787,1.03762
491.291,-10.931,-8.9793,-0.31534,1.04116
491.311,-10.9333,-8.97901,-0.318866,1.04464
491.331,-10.9334,-8.97899,-0.322416,1.04811
491.351,-10.9411,-8.97818,-0.326056,1.05163
491.371,-10.9415,-8.97815,-0.326056,1.05163
491.391,-10.9476,-8.97775,-0.326056,1.05163
491.411,-10.9477,-8.97774,-0.326056,1.05163
491.431,-10.9538,-8.97728,-0.326056,1.05163
491.451,-10.9566,-8.9769,-0.326056,1.05163
491.471,-10.9568,-8.97688,-0.326056,1.05163
491.491,-10.9568,-8.97688,-0.326056,1.05163
491.511,-10.9629,-8.97603,-0.326056,1.05163
491.531,-10.963,-8.97602,-0.326056,1.05163
491.551,-10.9656,-8.97566,-0.326056,1.05163
491.571,-10.9656,-8.97565,-0.32968,1.0551
491.591,-10.967,-8.97546,-0.333254,1.0585
491.611,-10.967,-8.97546,-0.336917,1.06194
491.631,-10.9691,-8.97556,-0.34058,1.06535
491.651,-10.9693,-8.97555,-0.344241,1.06873
491.671,-10.9732,-8.97491,-0.347923,1.07209
491.691,-10.9735,-8.97487,-0.351592,1.07542
491.711,-10.9787,-8.97444,-0.355302,1.07874
491.731,-10.9799,-8.97438,-0.359064,1.08208
491.751,-10.9799,-8.97438,-0.362841,1.08541
491.771,-10.9894,-8.97428,-0.366616,1.0887
491.791,-10.9896,-8.97429,-0.370407,1.09197
491.811,-10.9984,-8.97464,-0.374276,1.09528
491.831,-10.9986,-8.97465,-0.378073,1.09849
491.851,-11.0092,-8.97547,-0.381903,1.1017
491.871,-11.0095,-8.97549,-0.385714,1.10487
491.891,-11.0206,-8.97646,-0.38957,1.10804
491.911,-11.0209,-8.97648,-0.393352,1.11113
491.931,-11.0322,-8.97743,-0.397192,1.11423
491.951,-11.0325,-8.97745,-0.401093,1.11735
491.971,-11.0435,-8.97838,-0.405032,1.12047
491.991,-11.0494,-8.97889,-0.40889,1.12351
492.011,-11.0494,-8.97889,-0.412828,1.12659
492.031,-11.065,-8.98028,-0.416827,1.1297
492.051,-11.0653,-8.98031,-0.420837,1.13279
492.071,-11.0757,-8.98129,-0.424796,1.13582
492.091,-11.076,-8.98132,-0.428762,1.13884
492.111,-11.0862,-8.98248,-0.432769,1.14187
492.131,-11.0909,-8.98305,-0.436755,1.14486
492.151,-11.0909,-8.98305,-0.440745,1.14783
492.171,-11.1013,-8.98441,-0.444783,1.15083
492.191,-11.1013,-8.98441,-0.448802,1.15381
492.211,-11.1117,-8.98572,-0.452823,1.15679
492.231,-11.1211,-8.98614,-0.456856,1.15977
492.251,-11.1256,-8.98617,-0.46086,1.16272
492.271,-11.1302,-8.98617,-0.464851,1.16566
492.291,-11.1305,-8.98617,-0.468912,1.16865
492.311,-11.1397,-8.98614,-0.472962,1.17163
492.331,-11.1446,-8.98608,-0.476988,1.17458
492.351,-11.1449,-8.98608,-0.481027,1.17754
492.371,-11.1544,-8.98567,-0.48503,1.18046
492.391,-11.1547,-8.98565,-0.489079,1.1834
492.411,-11.1641,-8.98482,-0.493099,1.18629
492.431,-11.1643,-8.9848,-0.497201,1.18922
492.451,-11.174,-8.98383,-0.501275,1.19211
492.471,-11.178,-8.98309,-0.505366,1.195
492.491,-11.178,-8.98309,-0.509471,1.19786
492.511,-11.1907,-8.9799,-0.513505,1.20066
492.531,-11.1907,-8.9799,-0.517668,1.20353
492.551,-11.1997,-8.9775,-0.52174,1.20631
492.571,-11.1997,-8.9775,-0.525888,1.20912
492.591,-11.2089,-8.97493,-0.530059,1.21191
492.611,-11.2089,-8.97493,-0.534161,1.21461
492.631,-11.217,-8.9713,-0.53834,1.21733
492.651,-11.217,-8.9713,-0.542566,1.22004
492.671,-11.2255,-8.9676,-0.546729,1.22268
492.691,-11.2255,-8.9676,-0.550921,1.22531
492.711,-11.2344,-8.96388,-0.555165,1.22792
492.731,-11.2344,-8.96388,-0.559418,1.23051
492.751,-11.2436,-8.96011,-0.563777,1.23312
492.771,-11.253,-8.95639,-0.563777,1.23312
492.791,-11.2533,-8.95629,-0.563777,1.23312
492.811,-11.2533,-8.95629,-0.563777,1.23312
492.831,-11.266,-8.95201,-0.563777,1.23312
492.851,-11.2664,-8.9519,-0.563777,1.23312
492.871,-11.2719,-8.94933,-0.563777,1.23312
492.891,-11.2721,-8.94918,-0.563777,1.23312
492.911,-11.2721,-8.94918,-0.563777,1.23312
492.931,-11.2762,-8.94679,-0.563777,1.23312
492.951,-11.2763,-8.94677,-0.563777,1.23312
492.97,-11.2768,-8.94645,-0.563777,1.23312
492.991,-11.2768,-8.94645,-0.563777,1.23312
493.011,-11.2768,-8.94645,-0.563777,1.23312
493.031,-11.2768,-8.94645,-0.563777,1.23312
493.051,-11.2768,-8.94645,-0.563777,1.23312
493.071,-11.2768,-8.94645,-0.563777,1.23312
493.091,-11.2768,-8.94645,-0.563777,1.23312
493.111,-11.2768,-8.94645,-0.563777,1.23312
493.131,-11.2768,-8.94645,-0.563777,1.23312
493.151,-11.2768,-8.94645,-0.563777,1.23312
493.171,-11.2768,-8.94645,-0.563777,1.23312
493.191,-11.2768,-8.94645,-0.563777,1.23312
493.211,-11.2768,-8.94645,-0.563777,1.23312
493.231,-11.2768,-8.94645,-0.563777,1.23312
493.251,-11.2768,-8.94645,-0.563777,1.23312
493.271,-11.2768,-8.94645,-0.563777,1.23312
493.291,-11.2768,-8.94645,-0.563777,1.23312
493.311,-11.2768,-8.94645,-0.563777,1.23312
493.331,-11.2768,-8.94645,-0.563777,1.23312
493.351,-11.2768,-8.94645,-0.563777,1.23312
493.371,-11.2768,-8.94645,-0.563777,1.23312
493.391,-11.2769,-8.94645,-0.568054,1.23568
493.411,-11.2769,-8.94645,-0.572338,1.23823
493.431,-11.2776,-8.94655,-0.576624,1.24079
493.451,-11.2784,-8.94664,-0.580929,1.24335
493.471,-11.2784,-8.94665,-0.585207,1.24591
493.491,-11.2809,-8.94697,-0.5895,1.24846
493.511,-11.2809,-8.94697,-0.59377,1.25101
493.531,-11.2847,-8.94745,-0.598072,1.25358
493.551,-11.2848,-8.94746,-0.602379,1.25614
493.571,-11.2896,-8.94808,-0.606621,1.25866
493.591,-11.2897,-8.94809,-0.610936,1.26121
493.611,-11.2957,-8.94885,-0.615216,1.26371
493.631,-11.2971,-8.949,-0.619554,1.26623
493.651,-11.305,-8.94958,-0.623908,1.26874
493.671,-11.3052,-8.94959,-0.628243,1.27121
493.691,-11.3115,-8.95002,-0.63258,1.27367
493.711,-11.3148,-8.95024,-0.636979,1.27614
493.731,-11.315,-8.95025,-0.641359,1.27858
493.751,-11.3215,-8.95066,-0.645717,1.28099
493.771,-11.3217,-8.95067,-0.650132,1.28342
493.791,-11.3283,-8.95105,-0.654467,1.28578
493.811,-11.3285,-8.95106,-0.658851,1.28815
493.831,-11.3352,-8.95139,-0.663294,1.29054
493.851,-11.3354,-8.9514,-0.667647,1.29286
493.871,-11.3423,-8.95168,-0.672058,1.29519
493.891,-11.3425,-8.95168,-0.67648,1.2975
493.911,-11.3527,-8.95202,-0.680875,1.29978
493.931,-11.3531,-8.95203,-0.685319,1.30207
493.951,-11.3603,-8.9523,-0.689826,1.30437
493.971,-11.364,-8.9525,-0.694333,1.30665
493.991,-11.3642,-8.95251,-0.698822,1.3089
494.011,-11.3729,-8.95405,-0.703296,1.31113
494.031,-11.3732,-8.95413,-0.707761,1.31333
494.051,-11.3827,-8.95706,-0.712263,1.31554
494.071,-11.3827,-8.95706,-0.716773,1.31773
494.091,-11.3925,-8.96001,-0.721249,1.31988
494.111,-11.3925,-8.96001,-0.725723,1.32201
494.131,-11.4018,-8.96266,-0.730211,1.32414
494.151,-11.4018,-8.96266,-0.734682,1.32623
494.171,-11.4111,-8.96571,-0.739213,1.32834
494.191,-11.4111,-8.96571,-0.743708,1.33042
494.211,-11.4207,-8.96952,-0.748256,1.33251
494.231,-11.4207,-8.96952,-0.752797,1.3346
494.251,-11.4297,-8.97292,-0.757347,1.33667
