t,trans_err,rot_err
385.581,8.29799,0.180721
385.601,8.30785,0.178751
385.621,8.29889,0.183253
385.641,8.30874,0.181207
385.661,8.29608,0.186171
385.681,8.30554,0.184288
385.701,8.29744,0.187884
385.721,8.29791,0.188855
385.741,8.3073,0.18696
385.761,8.29868,0.190753
385.781,8.30814,0.190242
385.801,8.31809,0.189603
385.821,8.30105,0.19512
385.841,8.31049,0.194451
385.861,8.30076,0.195347
385.881,8.31072,0.19463
385.9,8.29326,0.195136
385.921,8.3031,0.194397
385.941,8.29418,0.194357
385.961,8.30357,0.193701
385.981,8.31351,0.193031
386.001,8.29643,0.193305
386.021,8.30639,0.192599
386.041,8.29701,0.192766
386.061,8.30697,0.19208
386.08,8.29718,0.19264
386.101,8.28961,0.193527
386.12,8.29801,0.192976
386.141,8.30843,0.192334
386.161,8.2916,0.194399
386.181,8.30108,0.193747
386.201,8.31101,0.193045
386.221,8.2944,0.194192
386.241,8.30374,0.193548
386.261,8.29554,0.193857
386.281,8.30496,0.193197
386.301,8.29677,0.193614
386.321,8.30629,0.193059
386.341,8.29797,0.193882
386.361,8.30741,0.193319
386.381,8.2909,0.195034
386.401,8.29993,0.194471
386.421,8.29142,0.195963
386.441,8.30093,0.195376
386.461,8.31083,0.194696
386.481,8.29433,0.196767
386.501,8.30376,0.196138
386.521,8.29523,0.197414
386.541,8.30465,0.19682
386.561,8.29621,0.198045
386.581,8.30574,0.197469
386.601,8.29274,0.199163
386.621,8.30217,0.198526
386.641,8.29428,0.199466
386.661,8.29826,0.199294
386.681,8.30831,0.198639
386.701,8.30113,0.200839
386.721,8.31067,0.200267
386.741,8.30845,0.205218
386.761,8.31817,0.20469
386.781,8.32082,0.215437
386.801,8.33071,0.218874
386.821,8.33507,0.229886
386.841,8.3449,0.233251
386.861,8.34965,0.242239
386.881,8.35686,0.24759
386.901,8.36658,0.251059
386.921,8.36435,0.264534
386.941,8.37401,0.268178
386.961,8.37355,0.282854
386.981,8.3775,0.2927
387.001,8.38703,0.29763
387.021,8.38442,0.305948
387.041,8.38727,0.310572
387.061,8.39677,0.315253
387.081,8.39221,0.319305
387.101,8.40167,0.32397
387.121,8.39615,0.327085
387.141,8.40554,0.331734
387.161,8.39782,0.333639
387.181,8.40723,0.339617
387.201,8.39856,0.341552
387.221,8.40785,0.347478
387.241,8.38746,0.344482
387.261,8.39664,0.350379
387.281,8.40652,0.356474
387.301,8.38437,0.353021
387.321,8.3935,0.358905
387.341,8.38081,0.359068
387.36,8.38934,0.364682
387.381,8.37652,0.366641
387.401,8.38627,0.373987
387.421,8.37136,0.374031
387.441,8.38033,0.38122
387.461,8.36577,0.380983
387.481,8.37491,0.388256
387.501,8.36279,0.38733
387.521,8.3553,0.380154
387.541,8.36459,0.387063
387.561,8.37428,0.394461
387.581,8.36139,0.373776
387.601,8.37066,0.382004
387.621,8.36454,0.369571
387.641,8.36556,0.367185
387.661,8.37457,0.375329
387.681,8.36707,0.362279
387.701,8.37593,0.370475
387.721,8.36794,0.357021
387.741,8.37703,0.365163
387.761,8.36873,0.351154
387.781,8.37755,0.360639
387.801,8.36156,0.336332
387.821,8.37077,0.34637
387.841,8.36227,0.330944
387.861,8.37089,0.340291
387.881,8.36253,0.324869
387.901,8.36224,0.321309
387.921,8.37137,0.331336
387.941,8.36027,0.311969
387.961,8.3695,0.321962
387.981,8.35784,0.300946
388.001,8.36629,0.307675
388.021,8.37515,0.314971
388.041,8.35668,0.283901
388.061,8.36499,0.290646
388.081,8.35535,0.274337
388.101,8.36358,0.281154
388.121,8.34507,0.259113
388.141,8.35332,0.266016
388.161,8.34401,0.254301
388.181,8.34408,0.250662
388.201,8.35236,0.256186
388.221,8.34368,0.244121
388.241,8.35173,0.249733
388.261,8.34223,0.240181
388.281,8.35073,0.246313
388.301,8.3417,0.238524
388.321,8.34969,0.244292
388.341,8.3418,0.238666
388.361,8.34982,0.244399
388.381,8.34218,0.237273
388.401,8.35008,0.240355
388.421,8.34041,0.233628
388.441,8.34867,0.237011
388.461,8.33315,0.231046
388.481,8.34143,0.234458
388.501,8.3327,0.231008
388.521,8.34052,0.234239
388.541,8.34882,0.23766
388.561,8.33158,0.231385
388.581,8.33926,0.234571
388.601,8.32929,0.23212
388.621,8.33697,0.235303
388.641,8.32622,0.233741
388.661,8.33382,0.236983
388.681,8.32236,0.237382
388.701,8.32995,0.240711
388.721,8.31799,0.243535
388.741,8.32543,0.246862
388.761,8.30452,0.250235
388.781,8.30213,0.250243
388.801,8.30964,0.250209
388.821,8.29779,0.250254
388.841,8.30526,0.25024
388.861,8.31329,0.250256
388.881,8.29431,0.250276
388.901,8.30177,0.250276
388.921,8.29157,0.250284
388.941,8.29003,0.250274
388.961,8.29803,0.250242
388.981,8.27955,0.249637
389.001,8.27921,0.249236
389.021,8.28677,0.249257
389.041,8.2785,0.249062
389.061,8.27771,0.248999
389.081,8.28522,0.248979
389.101,8.27618,0.248982
389.121,8.28372,0.248951
389.141,8.27418,0.248932
389.161,8.28173,0.248917
389.181,8.27209,0.25627
389.201,8.27962,0.263668
389.221,8.27105,0.268237
389.241,8.27902,0.27565
389.261,8.27231,0.275296
389.281,8.26669,0.274569
389.301,8.27376,0.281566
389.321,8.2816,0.288949
389.341,8.26969,0.284409
389.361,8.27699,0.291597
389.381,8.27129,0.288232
389.401,8.27244,0.28941
389.421,8.27955,0.293981
389.441,8.27034,0.292569
389.461,8.27784,0.297278
389.481,8.27002,0.296423
389.501,8.27746,0.301172
389.521,8.26947,0.29979
389.541,8.27685,0.304509
389.561,8.26849,0.302139
389.581,8.27579,0.304159
389.601,8.26678,0.298284
389.621,8.25806,0.294425
389.641,8.26447,0.296199
389.661,8.27169,0.298114
389.681,8.25496,0.293641
389.701,8.26176,0.295582
389.721,8.25252,0.294428
389.741,8.25098,0.294796
389.761,8.25773,0.296757
389.781,8.24661,0.297914
389.801,8.25374,0.302641
389.821,8.24303,0.301314
389.841,8.25015,0.305949
389.861,8.23941,0.302627
389.881,8.24646,0.307338
389.901,8.23652,0.303705
389.921,8.24305,0.308161
389.941,8.22646,0.299858
389.961,8.23293,0.304253
389.981,8.23982,0.30767
